Name,State App't From,Appointed by President,Judicial Oath Taken,Date Service Terminated,Type
"Jay, John",New York,Washington,10/19/1789,6/29/1795,Chief
"Rutledge, John",South Carolina,Washington,8/12/1795,12/15/1795,Chief
"Ellsworth, Oliver",Connecticut,Washington,3/8/1796,12/15/1800,Chief
"Marshall, John",Virginia,"Adams, John",2/4/1801,7/6/1835,Chief
"Taney, Roger Brooke",Maryland,Jackson,3/28/1836,10/12/1864,Chief
"Chase, Salmon Portland",Ohio,Lincoln,12/15/1864,5/7/1873,Chief
"Waite, Morrison Remick",Ohio,Grant,3/4/1874,3/23/1888,Chief
"Fuller, Melville Weston",Illinois,Cleveland,10/8/1888,7/4/1910,Chief
"White, Edward Douglass",Louisiana,Taft,12/19/1910,5/19/1921,Chief
"Taft, William Howard",Connecticut,Harding,7/11/1921,2/3/1930,Chief
"Hughes, Charles Evans",New York,Hoover,2/24/1930,6/30/1941,Chief
"Stone, Harlan Fiske",New York,"Roosevelt, F.",7/3/1941,4/22/1946,Chief
"Vinson, Fred Moore",Kentucky,Truman,6/24/1946,9/8/1953,Chief
"Warren, Earl",California,Eisenhower,10/5/1953,6/23/1969,Chief
"Burger, Warren Earl",Virginia,Nixon,6/23/1969,9/26/1986,Chief
"Rehnquist, William H.",Virginia,Reagan,9/26/1986,9/3/2005,Chief
"Roberts, John G., Jr.",Maryland,"Bush, G. W.",9/29/2005,Present,Chief
"Rutledge, John",South Carolina,Washington,2/15/1790,3/5/1791,Associate
"Cushing, William",Massachusetts,Washington,2/2/1790,9/13/1810,Associate
"Wilson, James",Pennsylvania,Washington,10/5/1789,8/21/1798,Associate
"Blair, John",Virginia,Washington,2/2/1790,10/25/1795,Associate
"Iredell, James",North Carolina,Washington,5/12/1790,10/20/1799,Associate
"Johnson, Thomas",Maryland,Washington,8/6/1792,1/16/1793,Associate
"Paterson, William",New Jersey,Washington,3/11/1793,9/9/1806,Associate
"Chase, Samuel",Maryland,Washington,2/4/1796,6/19/1811,Associate
"Washington, Bushrod",Virginia,"Adams, John",11/9/1798,9/26/1829,Associate
"Moore, Alfred",North Carolina,"Adams, John",4/21/1800,1/26/1804,Associate
"Johnson, William",South Carolina,Jefferson,5/7/1804,8/4/1834,Associate
"Livingston, Brockholst",New York,Jefferson,1/20/1807,3/18/1823,Associate
"Todd, Thomas",Kentucky,Jefferson,5/4/1807,2/7/1826,Associate
"Duvall, Gabriel",Maryland,Madison,11/23/1811,1/14/1835,Associate
"Story, Joseph",Massachusetts,Madison,2/3/1812,9/10/1845,Associate
"Thompson, Smith",New York,Monroe,9/1/1823,12/18/1843,Associate
"Trimble, Robert",Kentucky,"Adams, J. Q.",6/16/1826,8/25/1828,Associate
"McLean, John",Ohio,Jackson,1/11/1830,4/4/1861,Associate
"Baldwin, Henry",Pennsylvania,Jackson,1/18/1830,4/21/1844,Associate
"Wayne, James Moore",Georgia,Jackson,1/14/1835,7/5/1867,Associate
"Barbour, Philip Pendleton",Virginia,Jackson,5/12/1836,2/25/1841,Associate
"Catron, John",Tennessee,Jackson,5/1/1837,5/30/1865,Associate
"McKinley, John",Alabama,Van Buren,1/9/1838,7/19/1852,Associate
"Daniel, Peter Vivian",Virginia,Van Buren,1/10/1842,5/31/1860,Associate
"Nelson, Samuel",New York,Tyler,2/27/1845,11/28/1872,Associate
"Woodbury, Levi",New Hampshire,Polk,9/23/1845,9/4/1851,Associate
"Grier, Robert Cooper",Pennsylvania,Polk,8/10/1846,1/31/1870,Associate
"Curtis, Benjamin Robbins",Massachusetts,Fillmore,10/10/1851,9/30/1857,Associate
"Campbell, John Archibald",Alabama,Pierce,4/11/1853,4/30/1861,Associate
"Clifford, Nathan",Maine,Buchanan,1/21/1858,7/25/1881,Associate
"Swayne, Noah Haynes",Ohio,Lincoln,1/27/1862,1/24/1881,Associate
"Miller, Samuel Freeman",Iowa,Lincoln,7/21/1862,10/13/1890,Associate
"Davis, David",Illinois,Lincoln,12/10/1862,3/4/1877,Associate
"Field, Stephen Johnson",California,Lincoln,5/20/1863,12/1/1897,Associate
"Strong, William",Pennsylvania,Grant,3/14/1870,12/14/1880,Associate
"Bradley, Joseph P.",New Jersey,Grant,3/23/1870,1/22/1892,Associate
"Hunt, Ward",New York,Grant,1/9/1873,1/27/1882,Associate
"Harlan, John Marshall",Kentucky,Hayes,12/10/1877,10/14/1911,Associate
"Woods, William Burnham",Georgia,Hayes,1/5/1881,"May 14, 1887",Associate
"Matthews, Stanley",Ohio,Garfield,5/17/1881,"March 22, 1889",Associate
"Gray, Horace",Massachusetts,Arthur,1/9/1882,9/15/1902,Associate
"Blatchford, Samuel",New York,Arthur,4/3/1882,"July 7, 1893",Associate
"Lamar, Lucius Quintus C.",Mississippi,Cleveland,1/18/1888,"January 23, 1893",Associate
"Brewer, David Josiah",Kansas,Harrison,1/6/1890,3/28/1910,Associate
"Brown, Henry Billings",Michigan,Harrison,1/5/1891,5/28/1906,Associate
"Shiras, George, Jr.",Pennsylvania,Harrison,10/10/1892,2/23/1903,Associate
"Jackson, Howell Edmunds",Tennessee,Harrison,3/4/1893,8/8/1895,Associate
"White, Edward Douglass",Louisiana,Cleveland,3/12/1894,12/18/1910,Associate
"Peckham, Rufus Wheeler",New York,Cleveland,1/6/1896,10/24/1909,Associate
"McKenna, Joseph",California,McKinley,1/26/1898,1/5/1925,Associate
"Holmes, Oliver Wendell",Massachusetts,"Roosevelt, T.",12/8/1902,1/12/1932,Associate
"Day, William Rufus",Ohio,"Roosevelt, T.",3/2/1903,11/13/1922,Associate
"Moody, William Henry",Massachusetts,"Roosevelt, T.",12/17/1906,11/20/1910,Associate
"Lurton, Horace Harmon",Tennessee,Taft,1/3/1910,7/12/1914,Associate
"Hughes, Charles Evans",New York,Taft,10/10/1910,6/10/1916,Associate
"Van Devanter, Willis",Wyoming,Taft,1/3/1911,6/2/1937,Associate
"Lamar, Joseph Rucker",Georgia,Taft,1/3/1911,1/2/1916,Associate
"Pitney, Mahlon",New Jersey,Taft,3/18/1912,12/31/1922,Associate
"McReynolds, James Clark",Tennessee,Wilson,10/12/1914,1/31/1941,Associate
"Brandeis, Louis Dembitz",Massachusetts,Wilson,6/5/1916,2/13/1939,Associate
"Clarke, John Hessin",Ohio,Wilson,10/9/1916,9/18/1922,Associate
"Sutherland, George",Utah,Harding,10/2/1922,1/17/1938,Associate
"Butler, Pierce",Minnesota,Harding,1/2/1923,11/16/1939,Associate
"Sanford, Edward Terry",Tennessee,Harding,2/19/1923,3/8/1930,Associate
"Stone, Harlan Fiske",New York,Coolidge,3/2/1925,7/2/1941,Associate
"Roberts, Owen Josephus",Pennsylvania,Hoover,6/2/1930,7/31/1945,Associate
"Cardozo, Benjamin Nathan",New York,Hoover,3/14/1932,7/9/1938,Associate
"Black, Hugo Lafayette",Alabama,"Roosevelt, F.",8/19/1937,9/17/1971,Associate
"Reed, Stanley Forman",Kentucky,"Roosevelt, F.",1/31/1938,2/25/1957,Associate
"Frankfurter, Felix",Massachusetts,"Roosevelt, F.",1/30/1939,8/28/1962,Associate
"Douglas, William Orville",Connecticut,"Roosevelt, F.",4/17/1939,11/12/1975,Associate
"Murphy, Frank",Michigan,"Roosevelt, F.",2/5/1940,7/19/1949,Associate
"Byrnes, James Francis",South Carolina,"Roosevelt, F.",7/8/1941,10/3/1942,Associate
"Jackson, Robert Houghwout",New York,"Roosevelt, F.",7/11/1941,10/9/1954,Associate
"Rutledge, Wiley Blount",Iowa,"Roosevelt, F.",2/15/1943,9/10/1949,Associate
"Burton, Harold Hitz",Ohio,Truman,10/1/1945,10/13/1958,Associate
"Clark, Tom Campbell",Texas,Truman,8/24/1949,6/12/1967,Associate
"Minton, Sherman",Indiana,Truman,10/12/1949,10/15/1956,Associate
"Harlan, John Marshall",New York,Eisenhower,3/28/1955,9/23/1971,Associate
"Brennan, William J., Jr.",New Jersey,Eisenhower,10/16/1956,7/20/1990,Associate
"Whittaker, Charles Evans",Missouri,Eisenhower,3/25/1957,3/31/1962,Associate
"Stewart, Potter",Ohio,Eisenhower,10/14/1958,7/3/1981,Associate
"White, Byron Raymond",Colorado,Kennedy,4/16/1962,6/28/1993,Associate
"Goldberg, Arthur Joseph",Illinois,Kennedy,10/1/1962,7/25/1965,Associate
"Fortas, Abe",Tennessee,"Johnson, L.",10/4/1965,5/14/1969,Associate
"Marshall, Thurgood",New York,"Johnson, L.",10/2/1967,10/1/1991,Associate
"Blackmun, Harry A.",Minnesota,Nixon,6/9/1970,8/3/1994,Associate
"Powell, Lewis F., Jr.",Virginia,Nixon,1/7/1972,6/26/1987,Associate
"Rehnquist, William H.",Arizona,Nixon,1/7/1972,9/26/1986,Associate
"Stevens, John Paul",Illinois,Ford,12/19/1975,6/29/2010,Associate
"O'Connor, Sandra Day",Arizona,Reagan,9/25/1981,1/31/2006,Associate
"Scalia, Antonin",Virginia,Reagan,9/26/1986,2/13/2016,Associate
"Kennedy, Anthony M.",California,Reagan,2/18/1988,7/31/2018,Associate
"Souter, David H.",New Hampshire,"Bush, G. H. W.",10/9/1990,6/29/2009,Associate
"Thomas, Clarence",Georgia,"Bush, G. H. W.",10/23/1991,Present,Associate
